company_code,news_id,sentiment_score,sentiment_level
COF,144,0.068998,Neutral
NFLX,145,0.000000,Neutral
WBD,145,-0.171521,Somewhat-Bearish
NVDA,145,0.357990,Bullish
TSLA,145,0.357990,Bullish
FAST,145,-0.159329,Somewhat-Bearish
MMM,145,0.000000,Neutral
NFLX,146,0.522180,Bullish
UAL,146,0.496694,Bullish
MMM,146,0.345050,Somewhat-Bullish
MRNA,146,0.355124,Bullish
GOOG,147,0.000000,Neutral
MMM,147,0.138355,Neutral
HON,147,0.138355,Neutral
FI,148,0.101190,Neutral
MMM,148,0.060269,Neutral
ADP,148,0.060269,Neutral
UAL,149,0.381494,Bullish
HAL,149,0.110656,Neutral
WFC,149,0.743105,Bullish
PG,149,0.000000,Neutral
AXP,149,0.000000,Neutral
GEV,149,0.104885,Neutral
GS,149,0.743105,Bullish
MMM,149,0.305363,Somewhat-Bullish
NFLX,150,0.063900,Neutral
UAL,150,0.063900,Neutral
VZ,150,0.063900,Neutral
UNP,150,0.063900,Neutral
JNJ,150,0.063900,Neutral
AXP,150,0.207270,Somewhat-Bullish
CSX,150,0.063900,Neutral
COF,150,0.067820,Neutral
TXN,150,0.063900,Neutral
MMM,150,0.063900,Neutral
MMM,151,0.271739,Somewhat-Bullish
HON,151,0.224071,Somewhat-Bullish
MMM,152,0.293030,Somewhat-Bullish
AVGO,153,0.070899,Neutral
IVZ,153,0.067787,Neutral
MMM,153,0.070899,Neutral
PFE,153,0.070899,Neutral
MMM,154,0.127154,Neutral
HON,154,-0.040673,Neutral
CARR,155,0.144434,Neutral
EMR,155,0.009434,Neutral
MMM,155,0.129806,Neutral
HON,155,0.206129,Somewhat-Bullish
SYK,156,0.082052,Neutral
CAH,156,0.082052,Neutral
MMM,156,0.082052,Neutral
SOLV,157,-0.020537,Neutral
MMM,157,-0.028024,Neutral
NVDA,158,0.134639,Neutral
SHW,158,0.097299,Neutral
MMM,158,0.034149,Neutral
DOW,158,0.000000,Neutral
INTC,158,-0.065396,Neutral
UNH,158,0.000000,Neutral
MMM,159,0.164051,Somewhat-Bullish
HON,159,0.142169,Neutral
MMM,160,0.092220,Neutral
MMM,161,0.000000,Neutral
DOW,161,0.000000,Neutral
PH,162,0.126337,Neutral
MMM,162,0.099571,Neutral
MMM,163,0.475452,Bullish
GPC,164,0.007086,Neutral
MMM,164,0.441406,Bullish
PH,165,0.120164,Neutral
ALLE,165,0.085497,Neutral
MMM,165,0.131174,Neutral
MMM,166,0.517759,Bullish
NVDA,167,0.343416,Somewhat-Bullish
AAPL,167,-0.118939,Neutral
LMT,167,0.091618,Neutral
BAC,167,0.176004,Somewhat-Bullish
VZ,167,0.000000,Neutral
GM,167,0.258967,Somewhat-Bullish
SMCI,167,0.195995,Somewhat-Bullish
AMD,167,0.195995,Somewhat-Bullish
IVZ,167,-0.019101,Neutral
MMM,167,0.000000,Neutral
MMM,168,0.172626,Somewhat-Bullish
C,168,0.000000,Neutral
MMM,169,0.000000,Neutral
PH,170,0.000000,Neutral
MMM,170,0.000000,Neutral
HON,170,0.251926,Somewhat-Bullish
MMM,171,0.149471,Neutral
HON,171,0.319636,Somewhat-Bullish
IR,172,0.000000,Neutral
MMM,172,0.000000,Neutral
DHR,172,0.354783,Bullish
MMM,173,0.179026,Somewhat-Bullish
HON,173,0.287721,Somewhat-Bullish
MMM,174,0.000000,Neutral
PH,174,0.000000,Neutral
MMM,175,0.000000,Neutral
PH,175,0.000000,Neutral
GOOG,176,0.000000,Neutral
STE,176,0.293013,Somewhat-Bullish
PG,176,0.043843,Neutral
MMM,176,0.066013,Neutral
CLX,176,0.107522,Neutral
ECL,176,0.186932,Somewhat-Bullish
SBUX,177,0.061283,Neutral
ORCL,177,0.106274,Neutral
MMM,177,0.061283,Neutral
FICO,177,0.113019,Neutral
PLTR,177,0.090213,Neutral
MMM,178,0.187519,Somewhat-Bullish
HON,178,0.532513,Bullish
HD,179,0.156313,Somewhat-Bullish
MMM,179,0.097081,Neutral
DOW,179,0.097081,Neutral
GOOG,180,0.000000,Neutral
ZBH,180,0.000000,Neutral
HSIC,180,0.128666,Neutral
MMM,180,0.128666,Neutral
MMM,181,0.067113,Neutral
IBM,181,0.067113,Neutral
UNH,181,0.067113,Neutral
PH,182,0.162261,Somewhat-Bullish
MMM,182,0.202896,Somewhat-Bullish
JNJ,183,-0.012949,Neutral
MMM,183,-0.012949,Neutral
SBUX,184,0.061293,Neutral
GS,184,0.120350,Neutral
MMM,184,0.061293,Neutral
CBRE,184,0.090224,Neutral
CLX,184,0.104279,Neutral
FICO,184,0.110963,Neutral
IVZ,185,0.143540,Neutral
MMM,185,0.057010,Neutral
EFX,185,0.057010,Neutral
MMM,186,0.070514,Neutral
IBM,186,0.070514,Neutral
UNH,186,0.070514,Neutral
MMM,187,0.197342,Somewhat-Bullish
HON,187,0.116712,Neutral
DHR,187,0.197342,Somewhat-Bullish
MMM,188,0.300291,Somewhat-Bullish
HON,188,0.300291,Somewhat-Bullish
AXP,189,0.111040,Neutral
TRV,189,0.028370,Neutral
MMM,189,0.065456,Neutral
IBM,189,0.033291,Neutral
WMT,189,0.046833,Neutral
JNJ,190,0.075930,Neutral
PG,190,0.075930,Neutral
CL,190,0.075930,Neutral
MMM,190,0.075930,Neutral
SBUX,191,0.061244,Neutral
MMM,191,0.061244,Neutral
UNH,191,0.106224,Neutral
FICO,191,0.112666,Neutral
PLTR,191,0.089169,Neutral
IVZ,192,0.096760,Neutral
MMM,192,0.061034,Neutral
VZ,192,0.061034,Neutral
DOW,192,0.061034,Neutral
PH,193,0.142139,Neutral
MMM,193,0.362407,Bullish
IVZ,194,-0.463519,Bearish
MDT,194,0.148007,Neutral
MMM,194,0.470497,Bullish
MS,194,0.000000,Neutral
V,194,0.329424,Somewhat-Bullish
IVZ,195,0.087004,Neutral
MMM,195,0.063779,Neutral
LMT,195,0.063779,Neutral
LMT,196,0.070609,Neutral
CHTR,196,0.070609,Neutral
IVZ,196,0.069575,Neutral
MMM,196,0.070609,Neutral
LMT,197,0.061742,Neutral
CHTR,197,0.061742,Neutral
IVZ,197,0.119967,Neutral
MMM,197,0.061742,Neutral
NVDA,198,-0.036145,Neutral
ICE,198,0.061184,Neutral
MMM,198,0.061184,Neutral
FICO,198,0.112085,Neutral
PLTR,198,0.089111,Neutral
IVZ,199,0.072470,Neutral
MMM,199,0.069961,Neutral
VZ,199,0.069961,Neutral
DOW,199,0.069961,Neutral
MMM,200,0.067655,Neutral
BMY,200,0.067655,Neutral
GILD,200,0.067655,Neutral
MMM,201,-0.024259,Neutral
JCI,201,0.047853,Neutral
HON,201,0.401969,Bullish
AXON,202,0.089383,Neutral
ACN,202,0.114332,Neutral
MMM,202,0.089383,Neutral
CLX,202,0.060428,Neutral
UNH,202,0.106490,Neutral
PSA,202,0.060428,Neutral
MMM,203,0.066484,Neutral
BMY,203,0.066484,Neutral
GILD,203,0.066484,Neutral
CARR,204,0.161311,Somewhat-Bullish
MMM,204,0.121580,Neutral
HON,204,0.357674,Bullish
MMM,205,0.000000,Neutral
MMM,206,0.126791,Neutral
CARR,207,0.161816,Somewhat-Bullish
MMM,207,0.135980,Neutral
HON,207,0.373756,Bullish
SBUX,208,0.061320,Neutral
AZO,208,0.106322,Neutral
MMM,208,0.061320,Neutral
FICO,208,0.113341,Neutral
PLTR,208,0.089248,Neutral
MMM,209,0.068768,Neutral
MMM,210,-0.064942,Neutral
DHR,210,0.389344,Bullish
CL,211,0.111558,Neutral
HSIC,211,0.111558,Neutral
MMM,211,0.111558,Neutral
MMM,212,0.118319,Neutral
ZBH,213,0.054909,Neutral
MMM,213,0.054909,Neutral
DHR,213,0.054909,Neutral
MMM,214,0.169425,Somewhat-Bullish
DD,215,-0.075671,Neutral
NVDA,215,-0.100422,Neutral
UAL,215,-0.055804,Neutral
AAPL,215,-0.054549,Neutral
IVZ,215,0.080123,Neutral
LUV,215,-0.055804,Neutral
